NAME                            VERSION                            TYPE                     
libaudit-common                 1:3.1.2-2.1build1.1                deb                       
libaudit1                       1:3.1.2-2.1build1.1                deb                       
libavc1394-0                    0.5.4-5build3                      deb                       
libavcodec60                    7:6.1.1-3ubuntu5                   deb                       
libavdevice60                   7:6.1.1-3ubuntu5                   deb                       
libavfilter9                    7:6.1.1-3ubuntu5                   deb                       
libavformat60                   7:6.1.1-3ubuntu5                   deb                       
libavutil58                     7:6.1.1-3ubuntu5                   deb                       
libblas3                        3.12.0-3build1.1                   deb                       
libblkid1                       2.39.3-9ubuntu6.1                  deb                       
libbluray2                      1:1.3.4-1build1                    deb                       
libbrotli1                      1.1.0-2build2                      deb                       
libbs2b0                        3.1.0+dfsg-7build1                 deb                       
libbsd0                         0.12.1-1build1                     deb                       
libbz2-1.0                      1.0.8-5.1build0.1                  deb                       
libc-bin                        2.39-0ubuntu8.3                    deb                       
libc6                           2.39-0ubuntu8.3                    deb                       
libcaca0                        0.99.beta20-4build2                deb                       
libcairo-gobject2               1.18.0-3build1                     deb                       
libcairo2                       1.18.0-3build1                     deb                       
libcap-ng0                      0.8.4-2build2                      deb                       
libcap2                         1:2.66-5ubuntu2                    deb                       
libcdio-cdda2t64                10.2+2.0.1-1.1build2               deb                       
libcdio-paranoia2t64            10.2+2.0.1-1.1build2               deb                       
libcdio19t64                    2.1.0-4.1ubuntu1.2                 deb                       
libchromaprint1                 1.5.1-5                            deb                       
libcjson1                       1.7.17-1                           deb                       
libcodec2-1.2                   1.2.0-2build1                      deb                       
libcom-err2                     1.47.0-2.4~exp1ubuntu4.1           deb                       
libcrypt1                       1:4.4.36-4build1                   deb                       
libcurl3t64-gnutls              8.5.0-2ubuntu10.5                  deb                       
libdatrie1                      0.2.13-3build1                     deb                       
libdav1d7                       1.4.1-1build1                      deb                       
libdb5.3t64                     5.3.28+dfsg2-7                     deb                       
libdbus-1-3                     1.14.10-4ubuntu4.1                 deb                       
libdc1394-25                    2.2.6-4build1                      deb                       
libdebconfclient0               0.271ubuntu3                       deb                       
libdecor-0-0                    0.2.2-1build2                      deb                       
libdeflate0                     1.19-1build1.1                     deb                       
libdrm-amdgpu1                  2.4.120-2build1                    deb                       
libdrm-common                   2.4.120-2build1                    deb                       
libdrm-intel1                   2.4.120-2build1                    deb                       
libdrm-nouveau2                 2.4.120-2build1                    deb                       
libdrm-radeon1                  2.4.120-2build1                    deb                       
libdrm2                         2.4.120-2build1                    deb                       
libedit2                        3.1-20230828-1build1               deb                       
libelf1t64                      0.190-1.1build4                    deb                       
liberror-perl                   0.17029-2                          deb                       
libexpat1                       2.6.1-2ubuntu0.2                   deb                       
libext2fs2t64                   1.47.0-2.4~exp1ubuntu4.1           deb                       
libffi8                         3.4.6-1build1                      deb                       
libfftw3-double3                3.3.10-1ubuntu3                    deb                       
libflac12t64                    1.4.3+ds-2.1ubuntu2                deb                       
libflite1                       2.2-6build3                        deb                       
libfontconfig1                  2.15.0-1.1ubuntu2                  deb                       
libfreetype6                    2.13.2+dfsg-1build3                deb                       
libfribidi0                     1.0.13-3build1                     deb                       
libgbm1                         24.0.9-0ubuntu0.3                  deb                       
libgcc-s1                       14.2.0-4ubuntu2~24.04              deb                       
libgcrypt20                     1.10.3-2build1                     deb                       
libgdbm-compat4t64              1.23-5.1build1                     deb                       
libgdbm6t64                     1.23-5.1build1                     deb                       
libgdk-pixbuf-2.0-0             2.42.10+dfsg-3ubuntu3.1            deb                       
libgdk-pixbuf2.0-common         2.42.10+dfsg-3ubuntu3.1            deb                       
libgfortran5                    14.2.0-4ubuntu2~24.04              deb                       
libgl1                          1.7.0-1build1                      deb                       
libgl1-mesa-dri                 24.0.9-0ubuntu0.3                  deb                       
libglapi-mesa                   24.0.9-0ubuntu0.3                  deb                       
libglib2.0-0t64                 2.80.0-6ubuntu3.2                  deb                       
libglvnd0                       1.7.0-1build1                      deb                       
libglx-mesa0                    24.0.9-0ubuntu0.3                  deb                       
libglx0                         1.7.0-1build1                      deb                       
libgme0                         0.6.3-7build1                      deb                       
libgmp10                        2:6.3.0+dfsg-2ubuntu6              deb                       
libgnutls30t64                  3.8.3-1.1ubuntu3.2                 deb                       
libgomp1                        14.2.0-4ubuntu2~24.04              deb                       
libgpg-error0                   1.47-3build2                       deb                       
libgraphite2-3                  1.3.14-2build1                     deb                       
libgsm1                         1.0.22-1build1                     deb                       
libgssapi-krb5-2                1.20.1-6ubuntu2.2                  deb                       
libharfbuzz0b                   8.3.0-2build2                      deb                       
libhogweed6t64                  3.9.1-2.2build1.1                  deb                       
libhwy1t64                      1.0.7-8.1build1                    deb                       
libice6                         2:1.0.10-1build3                   deb                       
libicu74                        74.2-1ubuntu3.1                    deb                       
libidn2-0                       2.3.7-2build1                      deb                       
libiec61883-0                   1.2.0-6build1                      deb                       
libjack-jackd2-0                1.9.21~dfsg-3ubuntu3               deb                       
libjbig0                        2.1-6.1ubuntu2                     deb                       
libjpeg-turbo8                  2.1.5-2ubuntu2                     deb                       
libjpeg8                        8c-2ubuntu11                       deb                       
libjq1                          1.7.1-3build1                      deb                       
libjson-perl                    4.10000-1                          deb                       
libjxl0.7                       0.7.0-10.2ubuntu6                  deb                       
libk5crypto3                    1.20.1-6ubuntu2.2                  deb                       
libkeyutils1                    1.6.3-3build1                      deb                       
libkrb5-3                       1.20.1-6ubuntu2.2                  deb                       
libkrb5support0                 1.20.1-6ubuntu2.2                  deb                       
libksba8                        1.6.6-1build1                      deb                       
liblapack3                      3.12.0-3build1.1                   deb                       
liblcms2-2                      2.14-2build1                       deb                       
